well_name,unique_id,DNA_name,rxn_id,DNA_conc,K,Mg,PEG,SecYE,Spermidine,Liposome_conc,Liposome_name,day,plate,col,row
I11,1234,CD81,205,2.5,85,20,0,0.0,0.1,3,no_lipo,2,4,10,8
O6,1235,CD81,206,2.5,85,20,0,1.25,0.1,3,no_lipo,2,4,5,14
J17,1236,CD81,207,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,16,9
K15,1237,CD81,208,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,14,10
K23,1238,CD81,209,2.5,185,14,0,1.25,0.1,3,no_lipo,2,4,22,10
K16,1239,CD81,210,2.5,185,14,0,1.25,0.1,3,no_lipo,2,4,15,10
M6,1240,CD81,211,2.5,235,8,0,0.625,0.1,3,no_lipo,2,4,5,12
M2,1241,CD81,212,2.5,235,20,0,0.625,0.1,3,no_lipo,2,4,1,12
F8,1242,CD81,213,2.5,235,20,0,0.625,0.1,3,no_lipo,2,4,7,5
C17,1243,CD81,299,5.0,85,14,0,0.0,0.1,3,no_lipo,2,4,16,2
L3,1244,CD81,300,5.0,85,14,0,0.0,0.1,3,no_lipo,2,4,2,11
O10,1245,CD81,346,2.5,85,14,0,0.0,0.1,3,no_lipo,2,4,9,14
C10,1246,CD81,347,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,9,2
I10,1247,CD81,348,2.5,185,20,0,0.0,0.1,3,no_lipo,2,4,9,8
P16,1248,CD81,89,5.0,85,8,0,0.0,0.1,3,no_lipo,2,4,15,15
F1,1249,CD81,204,2.5,85,20,0,0.0,0.1,3,no_lipo,2,4,0,5
C8,1250,CD81,205,2.5,85,20,0,0.0,0.1,3,no_lipo,2,4,7,2
D6,1251,CD81,206,2.5,85,20,0,1.25,0.1,3,no_lipo,2,4,5,3
I20,1252,CD81,207,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,19,8
H6,1253,CD81,208,2.5,185,14,0,0.0,0.1,3,no_lipo,2,4,5,7
