well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row
G10,159,69,CD9,5.0,no_lipo,3,20,0.0,85,1,0,4,0,1,9,6
G16,160,70,CD9,5.0,no_lipo,3,14,0.0,185,0,0,4,0,1,15,6
L8,161,71,CD9,5.0,no_lipo,3,20,1.25,85,2,0,4,0,1,7,11
C19,162,72,CD9,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,18,2
I13,163,73,CD9,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,12,8
G23,164,74,CD9,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,22,6
B23,165,75,CD9,5.0,no_lipo,3,14,0.0,135,1,0,4,0,1,22,1
J2,166,76,AqpZ,5.0,no_lipo,3,14,1.25,85,2,0,4,0,1,1,9
F18,167,77,AqpZ,5.0,no_lipo,3,8,1.25,185,2,0,4,0,1,17,5
K20,168,78,AqpZ,5.0,no_lipo,3,8,1.25,185,0,0,4,0,1,19,10
K11,169,79,AqpZ,5.0,no_lipo,3,14,0.0,185,1,0,4,0,1,10,10
C21,170,80,AqpZ,5.0,no_lipo,3,8,0.0,185,2,0,4,0,1,20,2
M17,171,81,AqpZ,5.0,no_lipo,3,14,0.0,85,1,0,4,0,1,16,12
H15,172,83,AqpZ,5.0,no_lipo,3,8,0.0,85,1,0,4,0,1,14,7
J18,173,84,AqpZ,5.0,no_lipo,3,14,0.0,135,0,0,4,0,1,17,9
O22,174,85,Cat,5.0,no_lipo,3,8,0.0,85,2,0,4,0,1,21,14
M7,175,87,Cat,5.0,no_lipo,3,20,0.0,185,2,0,4,0,1,6,12
H18,176,89,Cat,2.5,no_lipo,3,20,0.0,185,0,0,4,0,1,17,7
J22,177,90,Cat,2.5,no_lipo,3,8,0.0,85,0,0,4,0,1,21,9
K15,178,94,Blank,0.0,no_lipo,3,8,0.0,85,0,0,4,0,1,14,10
