K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,rep,well_name,plate,exp_rep,unique_id
135,no_lipo,20,2,1.25,3,TFR1,5,1,K9,1,2,131
85,DOPC,20,2,0.0,3,TFR1-TAT,5,3,L1,1,2,12
85,DOPC,20,2,0.0,3,Blank,5,1,L10,1,2,147
85,DOPC,20,2,0.0,3,AqpZ,5,3,L12,1,2,177
135,no_lipo,20,2,1.25,3,AqpZ,5,2,L14,1,2,207
135,DOPC,14,2,0.0,3,TFR1,5,3,L15,1,2,222
135,DOPC,14,2,0.0,3,Blank,5,3,L16,1,2,237
135,DOPC,20,2,1.25,3,TFR1,5,3,L18,1,2,267
85,DOPC,20,2,0.0,3,AqpZ,5,4,L19,1,2,282
135,no_lipo,14,2,0.0,3,TFR1,5,2,L2,1,2,27
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,4,L20,1,2,297
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,1,L21,1,2,312
135,DOPC,14,2,0.0,3,TFR1-TAT,5,4,L22,1,2,327
135,DOPC,14,2,0.0,3,TFR1-TAT,5,2,L5,1,2,72
135,DOPC,20,2,1.25,3,Blank,5,2,L8,1,2,117
85,no_lipo,20,2,0.0,3,TFR1-TAT,5,2,L9,1,2,132
85,DOPC,20,2,0.0,3,AqpZ,5,1,M1,1,2,13
135,no_lipo,14,2,0.0,3,PDGFRB2-TAT,5,3,M13,1,2,193
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,1,M15,1,2,223
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,1,M17,1,2,253
135,DOPC,20,2,1.25,3,AqpZ,5,2,M19,1,2,283
135,DOPC,20,2,1.25,3,Blank,5,1,M2,1,2,28
85,DOPC,20,2,0.0,3,TFR1,5,1,M21,1,2,313
135,DOPC,20,2,1.25,3,TFR1-TAT,5,3,M5,1,2,73
135,DOPC,14,2,0.0,3,PDGFRB2-TAT,5,3,M7,1,2,103
135,DOPC,14,2,0.0,3,TFR1,5,4,M8,1,2,118
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,4,M9,1,2,133
85,no_lipo,20,2,0.0,3,PDGFRB2-TAT,5,3,N10,1,2,149
135,no_lipo,20,2,1.25,3,TFR1-TAT,5,4,N17,1,2,254
85,DOPC,20,2,0.0,3,PDGFRB2-TAT,5,2,N8,1,2,119
85,no_lipo,20,2,0.0,3,AqpZ,5,3,O10,1,2,150
135,no_lipo,14,2,0.0,3,Blank,5,3,O13,1,2,195
135,no_lipo,20,2,1.25,3,AqpZ,5,4,O15,1,2,225
135,no_lipo,14,2,0.0,3,TFR1-TAT,5,3,O20,1,2,300
85,no_lipo,20,2,0.0,3,TFR1,5,4,O21,1,2,315
135,no_lipo,20,2,1.25,3,PDGFRB2-TAT,5,4,O22,1,2,330
85,no_lipo,20,2,0.0,3,Blank,5,3,O23,1,2,345
135,no_lipo,20,2,1.25,3,TFR1,5,4,O24,1,2,360
135,DOPC,20,2,1.25,3,AqpZ,5,1,O4,1,2,60
135,DOPC,20,2,1.25,3,PDGFRB2-TAT,5,1,O9,1,2,135
