well_name,unique_id,rxn_id,DNA_name,DNA_conc,K,Mg,PEG,SecYE,Liposome_name,Liposome_conc,day,plate,col,row
O6,142,10,AqpZ,5.0,135,14,0,0,DOPC_005_Cy5,3,1,1,5,14
E2,143,11,AqpZ,2.5,135,14,0,0,DOPC_005_Cy5,3,1,1,1,4
F3,144,12,AqpZ,1.25,135,14,0,0,DOPC_005_Cy5,3,1,1,2,5
P5,145,13,AqpZ,0.625,135,14,0,0,DOPC_005_Cy5,3,1,1,4,15
L8,146,14,AqpZ,0.3125,135,14,0,0,DOPC_005_Cy5,3,1,1,7,11
B3,147,15,AqpZ,5.0,135,14,0,0,no_lipo,3,1,1,2,1
H1,148,16,AqpZ,2.5,135,14,0,0,no_lipo,3,1,1,0,7
O4,149,17,AqpZ,1.25,135,14,0,0,no_lipo,3,1,1,3,14
P11,150,18,AqpZ,0.625,135,14,0,0,no_lipo,3,1,1,10,15
B7,151,19,AqpZ,0.3125,135,14,0,0,no_lipo,3,1,1,6,1
O7,152,20,MscL,5.0,135,14,0,0,DOPC,3,1,1,6,14
I7,153,21,MscL,2.5,135,14,0,0,DOPC,3,1,1,6,8
F5,154,22,MscL,1.25,135,14,0,0,DOPC,3,1,1,4,5
K6,155,23,MscL,0.625,135,14,0,0,DOPC,3,1,1,5,10
B9,156,24,MscL,0.3125,135,14,0,0,DOPC,3,1,1,8,1
M4,157,25,MscL,5.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,3,12
C1,158,26,MscL,2.5,135,14,0,0,DOPC_0025_Cy5,3,1,1,0,2
C5,159,27,MscL,1.25,135,14,0,0,DOPC_0025_Cy5,3,1,1,4,2
G10,160,28,MscL,0.625,135,14,0,0,DOPC_0025_Cy5,3,1,1,9,6
B6,161,29,MscL,0.3125,135,14,0,0,DOPC_0025_Cy5,3,1,1,5,1
K2,162,30,MscL,5.0,135,14,0,0,DOPC_005_Cy5,3,1,1,1,10
O9,163,31,MscL,2.5,135,14,0,0,DOPC_005_Cy5,3,1,1,8,14
N6,164,32,MscL,1.25,135,14,0,0,DOPC_005_Cy5,3,1,1,5,13
E10,165,33,MscL,0.625,135,14,0,0,DOPC_005_Cy5,3,1,1,9,4
H8,166,34,MscL,0.3125,135,14,0,0,DOPC_005_Cy5,3,1,1,7,7
F10,167,35,MscL,5.0,135,14,0,0,no_lipo,3,1,1,9,5
K9,168,36,MscL,2.5,135,14,0,0,no_lipo,3,1,1,8,10
L7,169,37,MscL,1.25,135,14,0,0,no_lipo,3,1,1,6,11
D10,170,38,MscL,0.625,135,14,0,0,no_lipo,3,1,1,9,3
F2,171,39,MscL,0.3125,135,14,0,0,no_lipo,3,1,1,1,5
A1,172,40,Blank,0.0,135,14,0,0,DOPC,3,1,1,0,0
D9,173,41,Blank,0.0,135,14,0,0,DOPC_0025_Cy5,3,1,1,8,3
I10,174,42,Blank,0.0,135,14,0,0,DOPC_005_Cy5,3,1,1,9,8
K7,175,43,Blank,0.0,135,14,0,0,no_lipo,3,1,1,6,10
