well_name,deGFP,K,Mg,PEG,WCE,Supp
K12,5,185,14,0,BL62,S24
K13,5,185,12,2,BL64,S24
K14,5,185,8,0,BL64,S24
K15,5,85,14,0,BL64,S24
K16,5,185,14,0,BL64,S24
K2,5,185,8,0,BL62,S23
K3,5,85,14,0,BL62,S23
K4,5,185,14,0,BL62,S23
K5,5,185,12,2,BL64,S23
K6,5,185,8,0,BL64,S23
K7,5,85,14,0,BL64,S23
K8,5,185,14,0,BL64,S23
K9,5,185,12,2,BL62,S24
L1,5,185,16,2,BL62,S23
L10,5,85,10,0,BL62,S24
L11,5,185,16,0,BL62,S24
L12,5,85,16,2,BL62,S24
L13,5,185,16,2,BL64,S24
L14,5,85,10,0,BL64,S24
L15,5,185,16,0,BL64,S24
L16,5,85,16,2,BL64,S24
L2,5,85,10,0,BL62,S23
L3,5,185,16,0,BL62,S23
L4,5,85,16,2,BL62,S23
L5,5,185,16,2,BL64,S23
L6,5,85,10,0,BL64,S23
L7,5,185,16,0,BL64,S23
L8,5,85,16,2,BL64,S23
L9,5,185,16,2,BL62,S24
M1,5,85,8,0,BL62,S23
M10,5,185,12,0,BL62,S24
M11,5,185,8,0,BL62,S24
M13,5,85,8,0,BL64,S24
M14,5,185,12,0,BL64,S24
M15,5,185,8,0,BL64,S24
M2,5,185,12,0,BL62,S23
M3,5,185,8,0,BL62,S23
M5,5,85,8,0,BL64,S23
M6,5,185,12,0,BL64,S23
M7,5,185,8,0,BL64,S23
M9,5,85,8,0,BL62,S24
N1,5,185,14,2,BL62,S23
N10,5,185,10,0,BL62,S24
N11,5,185,10,0,BL62,S24
N13,5,185,14,2,BL64,S24
N14,5,185,10,0,BL64,S24
N15,5,185,10,0,BL64,S24
N2,5,185,10,0,BL62,S23
N3,5,185,10,0,BL62,S23
N5,5,185,14,2,BL64,S23
N6,5,185,10,0,BL64,S23
N7,5,185,10,0,BL64,S23
N9,5,185,14,2,BL62,S24
O1,5,85,14,2,BL62,S23
O10,5,185,10,2,BL62,S24
O11,5,185,14,0,BL62,S24
O13,5,85,14,2,BL64,S24
O14,5,185,10,2,BL64,S24
O15,5,185,14,0,BL64,S24
O2,5,185,10,2,BL62,S23
O3,5,185,14,0,BL62,S23
O5,5,85,14,2,BL64,S23
O6,5,185,10,2,BL64,S23
O7,5,185,14,0,BL64,S23
O9,5,85,14,2,BL62,S24
P1,5,85,14,0,BL62,S23
P10,5,85,16,2,BL62,S24
P11,5,185,16,2,BL62,S24
P13,5,85,14,0,BL64,S24
P14,5,85,16,2,BL64,S24
P15,5,185,16,2,BL64,S24
P2,5,85,16,2,BL62,S23
P3,5,185,16,2,BL62,S23
P5,5,85,14,0,BL64,S23
P6,5,85,16,2,BL64,S23
P7,5,185,16,2,BL64,S23
P9,5,85,14,0,BL62,S24
