well_name,plate,exp_rep,K,SecYE,Mg,PEG,Liposome_conc,DNA_conc,Liposome_name,DNA_name,water_droplets,rep
N24,1,3,85.0,0.0,20.0,2.0,3.0,5.0,no_lipo,AqpZ,2,21
N3,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,AqpZ,0,22
N5,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,TFR1-TAT,2,24
N7,1,3,135.0,1.25,20.0,2.0,3.0,5.0,DOPC,TFR1,0,24
N9,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,23
O11,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,PDGFRB2-TAT,0,22
O14,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,23
O18,1,3,85.0,0.0,20.0,2.0,3.0,5.0,DOPC,PDGFRB2-TAT,2,24
O19,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,Blank,2,22
O2,1,3,135.0,0.0,20.0,2.0,3.0,5.0,DOPC,AqpZ,2,24
O3,1,3,135.0,0.0,20.0,2.0,3.0,5.0,no_lipo,Blank,2,23
O8,1,3,135.0,1.25,20.0,2.0,3.0,5.0,no_lipo,Blank,0,24
