plate,row,col,droplets_print,layer_label,color,well_name,alpha,display_color,marker_size,hover
1,11,11,5,Reaction-diffusion flower,#0d9488,K11,1.0,"rgba(13,148,136,1.000)",20.0,"Final site K11<br>Row 10, Column 10<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,11,12,5,Reaction-diffusion flower,#0d9488,K12,1.0,"rgba(13,148,136,1.000)",20.0,"Final site K12<br>Row 10, Column 11<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,11,13,5,Reaction-diffusion flower,#0d9488,K13,1.0,"rgba(13,148,136,1.000)",20.0,"Final site K13<br>Row 10, Column 12<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,11,14,5,Reaction-diffusion flower,#0d9488,K14,1.0,"rgba(13,148,136,1.000)",20.0,"Final site K14<br>Row 10, Column 13<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,11,15,5,Reaction-diffusion flower,#0d9488,K15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site K15<br>Row 10, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,12,9,5,Reaction-diffusion flower,#0d9488,L9,1.0,"rgba(13,148,136,1.000)",20.0,"Final site L9<br>Row 11, Column 8<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,12,10,5,Reaction-diffusion flower,#0d9488,L10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site L10<br>Row 11, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,12,11,5,Reaction-diffusion flower,#0d9488,L11,1.0,"rgba(13,148,136,1.000)",20.0,"Final site L11<br>Row 11, Column 10<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,12,14,5,Reaction-diffusion flower,#0d9488,L14,1.0,"rgba(13,148,136,1.000)",20.0,"Final site L14<br>Row 11, Column 13<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,12,15,5,Reaction-diffusion flower,#0d9488,L15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site L15<br>Row 11, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,12,16,5,Reaction-diffusion flower,#0d9488,L16,1.0,"rgba(13,148,136,1.000)",20.0,"Final site L16<br>Row 11, Column 15<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,13,9,5,Reaction-diffusion flower,#0d9488,M9,1.0,"rgba(13,148,136,1.000)",20.0,"Final site M9<br>Row 12, Column 8<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,13,10,5,Reaction-diffusion flower,#0d9488,M10,1.0,"rgba(13,148,136,1.000)",20.0,"Final site M10<br>Row 12, Column 9<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,13,15,5,Reaction-diffusion flower,#0d9488,M15,1.0,"rgba(13,148,136,1.000)",20.0,"Final site M15<br>Row 12, Column 14<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
1,13,16,5,Reaction-diffusion flower,#0d9488,M16,1.0,"rgba(13,148,136,1.000)",20.0,"Final site M16<br>Row 12, Column 15<br>Merged droplets: 5<br>Units/layers: Reaction-diffusion flower"
