well_name,deGFP,K,Mg,combo
G6,2.5,85.0,20.0,Ind-37
G6,2.5,85.0,20.0,Ind-37
G6,2.5,85.0,20.0,Ind-37
G7,2.5,135.0,15.0,Ind-37
G7,2.5,135.0,15.0,Ind-37
G7,2.5,135.0,15.0,Ind-37
G7,2.5,135.0,15.0,Ind-37
H1,2.5,85.0,15.0,Ind-30
H1,2.5,85.0,15.0,Ind-30
H1,2.5,85.0,15.0,Ind-30
H1,2.5,85.0,15.0,Ind-30
H2,5.0,135.0,15.0,Ind-30
H2,5.0,135.0,15.0,Ind-30
H2,5.0,135.0,15.0,Ind-30
H2,5.0,135.0,15.0,Ind-30
H3,2.5,135.0,15.0,Ind-30
H3,2.5,135.0,15.0,Ind-30
H3,2.5,135.0,15.0,Ind-30
H3,2.5,135.0,15.0,Ind-30
H5,2.5,85.0,15.0,Ind-37
H5,2.5,85.0,15.0,Ind-37
H5,2.5,85.0,15.0,Ind-37
H5,2.5,85.0,15.0,Ind-37
H6,5.0,135.0,15.0,Ind-37
H6,5.0,135.0,15.0,Ind-37
H6,5.0,135.0,15.0,Ind-37
H6,5.0,135.0,15.0,Ind-37
H7,2.5,135.0,15.0,Ind-37
H7,2.5,135.0,15.0,Ind-37
H7,2.5,135.0,15.0,Ind-37
H7,2.5,135.0,15.0,Ind-37
I1,2.5,110.0,25.0,Ind-30
I1,2.5,110.0,25.0,Ind-30
I1,2.5,110.0,25.0,Ind-30
I1,2.5,110.0,25.0,Ind-30
I2,2.5,110.0,20.0,Ind-30
I2,2.5,110.0,20.0,Ind-30
I2,2.5,110.0,20.0,Ind-30
I2,2.5,110.0,20.0,Ind-30
I3,5.0,135.0,20.0,Ind-30
I3,5.0,135.0,20.0,Ind-30
I3,5.0,135.0,20.0,Ind-30
I3,5.0,135.0,20.0,Ind-30
I5,2.5,110.0,25.0,Ind-37
I5,2.5,110.0,25.0,Ind-37
I5,2.5,110.0,25.0,Ind-37
I5,2.5,110.0,25.0,Ind-37
I6,2.5,110.0,20.0,Ind-37
