well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
C3,Glut,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
C4,B2AR,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
C5,B2AR,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
C6,Glut,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
C7,Glut,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
C8,B2AR,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
C9,AqpZ,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
D1,Glut,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
D10,MtlA,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
D11,B2AR,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
D12,Glut,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
D13,B2AR,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
D14,MtlA,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
D2,Glut,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
D3,AqpZ,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
D4,Glut,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
D5,B2AR,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
D6,MtlA,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
D7,B2AR,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
D8,B2AR,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
D9,Glut,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
E1,B2AR,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
E10,AqpZ,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
E11,MtlA,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
E12,AqpZ,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
E13,B2AR,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
E14,B2AR,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
E2,MtlA,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
E3,Glut,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
E4,B2AR,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
E5,MtlA,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
E6,Glut,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
E7,AqpZ,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
E8,MtlA,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
E9,B2AR,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
F1,MtlA,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
F10,MtlA,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
F11,MtlA,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
F12,B2AR,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
F13,B2AR,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
F14,AqpZ,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
F2,B2AR,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
F3,AqpZ,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
F4,MtlA,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
F5,Glut,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
F6,MtlA,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
F7,B2AR,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
F8,AqpZ,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
F9,MtlA,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
G1,AqpZ,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
G10,AqpZ,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
G11,B2AR,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
G12,B2AR,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
G13,Glut,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
G14,Glut,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
G2,B2AR,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
G3,Glut,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
G4,AqpZ,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
G5,MtlA,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
G6,B2AR,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
G7,B2AR,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
G8,AqpZ,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
G9,AqpZ,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
H1,AqpZ,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
H10,B2AR,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
H11,MtlA,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
H12,Glut,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
H13,B2AR,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
H14,AqpZ,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
H2,AqpZ,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
H3,Glut,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
H4,MtlA,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
H5,Glut,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
H6,B2AR,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
H7,AqpZ,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
H8,AqpZ,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
H9,MtlA,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
I1,B2AR,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
I10,MtlA,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
I11,MtlA,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
I12,MtlA,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
I13,AqpZ,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
I2,Glut,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
I3,Glut,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
I4,B2AR,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
I5,MtlA,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
I6,AqpZ,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
I7,MtlA,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
I8,Glut,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
I9,AqpZ,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
J1,Glut,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
J10,AqpZ,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
J11,Glut,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
J12,Glut,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
J13,MtlA,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
J2,B2AR,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
J3,AqpZ,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
J4,MtlA,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
J5,B2AR,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
J6,AqpZ,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
J7,AqpZ,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
J8,MtlA,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
J9,B2AR,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
K1,MtlA,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
K10,Glut,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
K11,B2AR,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
K12,AqpZ,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
K13,Glut,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
K2,Glut,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
K3,AqpZ,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
K4,AqpZ,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
K5,AqpZ,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
K6,MtlA,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
K7,AqpZ,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
K8,AqpZ,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
K9,MtlA,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
L1,MtlA,5.0,DOPC,3.0,17.5,0.0,BL59-1_5,85
L10,MtlA,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
L11,AqpZ,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
L12,B2AR,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
L13,AqpZ,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
L2,B2AR,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
L3,MtlA,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
L4,B2AR,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
L5,MtlA,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
L6,MtlA,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
L7,AqpZ,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
L8,MtlA,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
L9,Glut,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
M1,B2AR,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
M10,Glut,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
M11,AqpZ,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
M12,MtlA,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
M13,AqpZ,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
M2,AqpZ,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
M3,AqpZ,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
M4,B2AR,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
M5,AqpZ,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
M6,Glut,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
M7,MtlA,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
M8,Glut,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
M9,Glut,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
N1,AqpZ,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
N10,MtlA,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
N11,AqpZ,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
N12,Glut,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
N13,B2AR,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
N2,B2AR,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
N3,AqpZ,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
N4,Glut,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
N5,Glut,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
N6,Glut,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
N7,AqpZ,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
N8,MtlA,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
N9,B2AR,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
O1,B2AR,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
O10,B2AR,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
O11,B2AR,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
O12,Glut,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
O13,AqpZ,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
O2,AqpZ,5.0,no_lipo,0.0,22.5,1.25,BL59-1_5,85
O3,AqpZ,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
O4,MtlA,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
O5,MtlA,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
O6,MtlA,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
O7,MtlA,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
O8,AqpZ,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
O9,AqpZ,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
P1,MtlA,5.0,no_lipo,0.0,12.5,0.625,BL59-1_5,85
P10,Glut,5.0,DOPC,3.0,12.5,0.625,BL59-1_5,85
P11,AqpZ,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
P12,MtlA,5.0,no_lipo,0.0,17.5,0.625,BL59-1_5,85
P13,MtlA,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
P2,MtlA,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
P3,B2AR,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
P4,MtlA,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
P5,B2AR,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
P6,Glut,5.0,no_lipo,0.0,17.5,0.0,BL59-1_5,85
P7,AqpZ,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
P8,MtlA,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
P9,MtlA,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
