well_name,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,combo,K
J20,Glut,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
J21,Neu,5.0,no_lipo,0.0,22.5,0.0,BL59-1_5,85
J22,Blank,0.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
J23,B2AR,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
J24,Neu,5.0,DOPC,3.0,17.5,0.625,BL59-1_5,85
J3,B2AR,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
J4,MtlA,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
J5,B2AR,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
J6,AqpZ,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
J7,Neu,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
J8,Blank,0.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
J9,Blank,0.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
K1,Glut,5.0,no_lipo,0.0,12.5,0.0,BL59-1_5,85
K10,Mito,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
K11,Glut,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
K12,Neu,5.0,DOPC,3.0,17.5,1.25,BL59-1_5,85
K13,MtlA,5.0,DOPC,3.0,12.5,0.0,BL59-1_5,85
K14,Glut,5.0,DOPC,3.0,22.5,1.25,BL59-1_5,85
K15,Glut,5.0,DOPC,3.0,22.5,0.0,BL59-1_5,85
K16,Neu,5.0,no_lipo,0.0,12.5,1.25,BL59-1_5,85
K17,Mito,5.0,DOPC,3.0,12.5,1.25,BL59-1_5,85
K18,Neu,5.0,no_lipo,0.0,17.5,1.25,BL59-1_5,85
K19,Neu,5.0,DOPC,3.0,22.5,0.625,BL59-1_5,85
K2,AqpZ,5.0,no_lipo,0.0,22.5,0.625,BL59-1_5,85
