well_name,DNA_name,DNA_conc,K,DOPC,Mg,combo
N11,MtlA,5,85,3,10,100
N12,MtlA,5,135,3,10,100
N13,AqpZ,5,135,3,20,100
N15,AqpZ,5,85,3,20,200
N16,Cat,5,85,3,10,200
N17,deGFP,5,85,3,15,200
N18,MtlA,5,85,3,10,200
N19,MtlA,5,135,3,10,200
N2,Cat,5,85,3,10,50
N20,AqpZ,5,135,3,20,200
N3,deGFP,5,85,3,15,50
N4,MtlA,5,85,3,10,50
N5,MtlA,5,135,3,10,50
N6,AqpZ,5,135,3,20,50
N8,AqpZ,5,85,3,20,100
N9,Cat,5,85,3,10,100
O1,SecYE,5,135,3,20,50
O10,AqpZ,5,135,3,15,100
O11,deGFP,5,135,3,15,100
O12,CD47,5,85,3,10,100
O13,AqpZ,5,135,3,15,100
O15,SecYE,5,135,3,20,200
O16,SecYE,5,85,3,15,200
O17,AqpZ,5,135,3,15,200
O18,deGFP,5,135,3,15,200
O19,CD47,5,85,3,10,200
O2,SecYE,5,85,3,15,50
O20,AqpZ,5,135,3,15,200
O3,AqpZ,5,135,3,15,50
O4,deGFP,5,135,3,15,50
O5,CD47,5,85,3,10,50
O6,AqpZ,5,135,3,15,50
O8,SecYE,5,135,3,20,100
O9,SecYE,5,85,3,15,100
P1,Cat,5,135,3,20,50
P10,AqpZ,5,135,3,20,100
P11,MtlA,5,135,3,15,100
P12,SecYE,5,135,3,10,100
P13,Cat,5,85,3,10,100
P15,Cat,5,135,3,20,200
P16,Cat,5,135,3,20,200
P17,AqpZ,5,135,3,20,200
P18,MtlA,5,135,3,15,200
P19,SecYE,5,135,3,10,200
P2,Cat,5,135,3,20,50
P20,Cat,5,85,3,10,200
P3,AqpZ,5,135,3,20,50
P4,MtlA,5,135,3,15,50
P5,SecYE,5,135,3,10,50
P6,Cat,5,85,3,10,50
P8,Cat,5,135,3,20,100
P9,Cat,5,135,3,20,100
