well_name,unique_id,DNA_name,rxn_id,Mg,SecYE,K,PEG,Liposome_name,DNA_conc,Liposome_conc,day,plate,col,row
K23,184,OR2AG1,172,14,0.0,135,0,no_lipo,5,3,1,1,22,10
F7,185,OR2AG1,173,14,0.0,185,1,no_lipo,5,3,1,1,6,5
G10,186,OR2AG1,174,14,0.0,185,2,no_lipo,5,3,1,1,9,6
O14,187,OR2AG1,175,14,0.0,185,2,no_lipo,5,3,1,1,13,14
L8,188,OR2AG1,176,14,1.25,185,2,no_lipo,5,3,1,1,7,11
H20,189,OR2AG1,177,20,0.0,85,0,no_lipo,5,3,1,1,19,7
F22,190,OR2AG1,178,20,0.0,85,1,no_lipo,5,3,1,1,21,5
O24,191,OR2AG1,179,20,0.0,135,0,no_lipo,5,3,1,1,23,14
J24,192,MscL,108,8,0.0,135,1,DMPC,5,3,1,1,23,9
J2,193,MscL,109,8,0.0,185,2,DMPC,5,3,1,1,1,9
J19,194,MscL,110,8,0.0,185,2,DOPC,5,3,1,1,18,9
P21,195,MscL,111,14,0.0,85,0,DOPC,5,3,1,1,20,15
A20,196,MscL,112,14,0.0,135,0,DMPC,5,3,1,1,19,0
M13,197,MscL,113,14,0.0,135,0,DOPC,5,3,1,1,12,12
N3,198,MscL,114,14,0.0,185,1,DMPC,5,3,1,1,2,13
K17,199,MscL,115,14,0.0,185,2,DMPC,5,3,1,1,16,10
N19,200,MscL,116,14,0.0,185,2,DOPC,5,3,1,1,18,13
G24,201,MscL,117,14,1.25,185,2,DOPC,5,3,1,1,23,6
M7,202,MscL,118,20,0.0,185,0,DMPC,5,3,1,1,6,12
C24,203,MscL,119,20,1.25,135,2,DOPC,5,3,1,1,23,2
I13,204,MscL,108,8,0.0,135,1,DMPC,5,3,1,1,12,8
L19,205,MscL,109,8,0.0,185,2,DMPC,5,3,1,1,18,11
G12,206,MscL,110,8,0.0,185,2,DOPC,5,3,1,1,11,6
B24,207,MscL,111,14,0.0,85,0,DOPC,5,3,1,1,23,1
L17,208,MscL,112,14,0.0,135,0,DMPC,5,3,1,1,16,11
P8,209,MscL,113,14,0.0,135,0,DOPC,5,3,1,1,7,15
J10,210,MscL,114,14,0.0,185,1,DMPC,5,3,1,1,9,9
E10,211,MscL,115,14,0.0,185,2,DMPC,5,3,1,1,9,4
A8,212,MscL,116,14,0.0,185,2,DOPC,5,3,1,1,7,0
J8,213,MscL,117,14,1.25,185,2,DOPC,5,3,1,1,7,9
