well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,SecYE,Liposome_conc,DNA_name,DNA_conc,plate,row,col
D14,204.0,204,185.0,DOPC,8.0,0.0,1.25,3,Blank,5,2,3,13
D17,205.0,205,185.0,DOPC,8.0,2.0,0.0,3,Blank,5,2,3,16
I8,210.0,210,185.0,DMPC,8.0,1.0,0.0,3,Blank,5,2,8,7
B9,211.0,211,185.0,DMPC,8.0,2.0,1.25,3,Blank,5,2,1,8
P6,212.0,212,185.0,DMPC,14.0,0.0,0.0,3,Blank,5,2,15,5
A15,213.0,213,185.0,DMPC,14.0,1.0,1.25,3,Blank,5,2,0,14
G22,216.0,216,85.0,no_lipo,8.0,0.0,0.0,3,Blank,5,2,6,21
F14,218.0,218,85.0,no_lipo,14.0,0.0,1.25,3,Blank,5,2,5,13
M24,222.0,222,85.0,no_lipo,8.0,0.0,1.25,3,Blank,5,2,12,23
M10,227.0,227,85.0,no_lipo,20.0,1.0,1.25,3,Blank,5,2,12,9
B5,228.0,228,185.0,no_lipo,8.0,0.0,1.25,3,Blank,5,2,1,4
D3,230.0,230,185.0,no_lipo,14.0,1.0,0.0,3,Blank,5,2,3,2
M7,231.0,231,185.0,no_lipo,14.0,2.0,1.25,3,Blank,5,2,12,6
J13,232.0,232,185.0,no_lipo,20.0,0.0,0.0,3,Blank,5,2,9,12
M15,233.0,233,185.0,no_lipo,20.0,1.0,1.25,3,Blank,5,2,12,14
A10,235.0,235,185.0,no_lipo,8.0,2.0,1.25,3,Blank,5,2,0,9
E14,237.0,237,185.0,no_lipo,14.0,1.0,1.25,3,Blank,5,2,4,13
I23,238.0,238,185.0,no_lipo,20.0,0.0,1.25,3,Blank,5,2,8,22
P18,240.0,0,85.0,DOPC,8.0,0.0,0.0,3,FITM2,5,2,15,17
P13,252.0,12,185.0,DOPC,8.0,0.0,1.25,3,FITM2,5,2,15,12
C17,253.0,13,185.0,DOPC,8.0,2.0,0.0,3,FITM2,5,2,2,16
A9,254.0,14,185.0,DOPC,14.0,1.0,0.0,3,FITM2,5,2,0,8
J12,258.0,18,185.0,DMPC,8.0,1.0,0.0,3,FITM2,5,2,9,11
G13,261.0,21,185.0,DMPC,14.0,1.0,1.25,3,FITM2,5,2,6,12
F13,263.0,23,185.0,DMPC,20.0,2.0,0.0,3,FITM2,5,2,5,12
H9,264.0,24,85.0,no_lipo,8.0,0.0,0.0,3,FITM2,5,2,7,8
O12,266.0,26,85.0,no_lipo,14.0,0.0,1.25,3,FITM2,5,2,14,11
B24,267.0,27,85.0,no_lipo,14.0,2.0,0.0,3,FITM2,5,2,1,23
K17,268.0,28,85.0,no_lipo,20.0,1.0,0.0,3,FITM2,5,2,10,16
E1,269.0,29,85.0,no_lipo,20.0,2.0,1.25,3,FITM2,5,2,4,0
N4,270.0,30,85.0,no_lipo,8.0,0.0,1.25,3,FITM2,5,2,13,3
O2,274.0,34,85.0,no_lipo,20.0,0.0,0.0,3,FITM2,5,2,14,1
F15,281.0,41,185.0,no_lipo,20.0,1.0,1.25,3,FITM2,5,2,5,14
H5,283.0,43,185.0,no_lipo,8.0,2.0,1.25,3,FITM2,5,2,7,4
