well_name,plate,DNA_name,DNA_conc,K,Liposome_name,Liposome_conc,Mg,SecYE,WCE,Supp
L19,3,Mol,5.0,135.0,DMPC,3.0,20.0,0.0,BL62,S22
L2,3,Mol,5.0,135.0,no_lipo,0.0,8.0,0.0,BL62,S22
L20,3,Neu,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
L21,3,AqpZ,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
L22,3,Vol,5.0,85.0,DMPC,3.0,8.0,0.0,BL62,S22
L3,3,Mol,5.0,85.0,no_lipo,0.0,16.0,1.25,BL62,S22
L4,3,Neu,5.0,85.0,DMPC,3.0,8.0,0.0,BL62,S22
L5,3,Glut,5.0,135.0,DOPC,3.0,12.0,1.25,BL62,S22
L6,3,Glut,5.0,135.0,DMPC,3.0,12.0,1.25,BL62,S22
L7,3,AqpZ,5.0,135.0,DMPC,3.0,16.0,1.25,BL62,S22
L8,3,AqpZ,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
L9,3,Glut,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
M1,3,Neu,5.0,135.0,DMPC,3.0,20.0,0.0,BL62,S22
M10,3,Neu,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
M11,3,Vol,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
M12,3,Mol,5.0,85.0,DOPC,3.0,12.0,1.25,BL62,S22
M13,3,Vol,5.0,135.0,DOPC,3.0,8.0,0.0,BL62,S22
M14,3,Vol,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
M15,3,Glut,5.0,85.0,DOPC,3.0,8.0,1.25,BL62,S22
M16,3,AqpZ,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
M17,3,Vol,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
M18,3,AqpZ,5.0,85.0,no_lipo,0.0,20.0,1.25,BL62,S22
M19,3,Glut,5.0,85.0,DOPC,3.0,16.0,0.0,BL62,S22
M2,3,AqpZ,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
M20,3,Glut,5.0,135.0,DMPC,3.0,8.0,1.25,BL62,S22
M21,3,Neu,5.0,85.0,DOPC,3.0,8.0,0.0,BL62,S22
M22,3,AqpZ,5.0,85.0,DMPC,3.0,12.0,0.0,BL62,S22
M3,3,Vol,5.0,135.0,no_lipo,0.0,16.0,1.25,BL62,S22
M4,3,AqpZ,5.0,85.0,DMPC,3.0,20.0,1.25,BL62,S22
M5,3,Mol,5.0,85.0,no_lipo,0.0,16.0,0.0,BL62,S22
M6,3,Glut,5.0,135.0,DOPC,3.0,20.0,1.25,BL62,S22
M7,3,Neu,5.0,135.0,no_lipo,0.0,12.0,0.0,BL62,S22
M8,3,Neu,5.0,135.0,DOPC,3.0,20.0,0.0,BL62,S22
M9,3,Glut,5.0,135.0,DMPC,3.0,8.0,0.0,BL62,S22
N1,3,Glut,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
N10,3,Glut,5.0,135.0,no_lipo,0.0,12.0,1.25,BL62,S22
N11,3,Vol,5.0,85.0,DOPC,3.0,20.0,0.0,BL62,S22
N12,3,Neu,5.0,85.0,no_lipo,0.0,12.0,0.0,BL62,S22
N13,3,AqpZ,5.0,85.0,DOPC,3.0,8.0,0.0,BL62,S22
N14,3,Glut,5.0,135.0,no_lipo,0.0,8.0,1.25,BL62,S22
N15,3,Neu,5.0,85.0,DOPC,3.0,16.0,1.25,BL62,S22
N16,3,Mol,5.0,85.0,DMPC,3.0,16.0,0.0,BL62,S22
N17,3,Mol,5.0,85.0,no_lipo,0.0,20.0,0.0,BL62,S22
N18,3,Neu,5.0,85.0,no_lipo,0.0,8.0,0.0,BL62,S22
