reagent,well_name,row,col,row_zero_based,col_zero_based,droplets_print
K,L23,12,23,11,22,1
K,M3,13,3,12,2,1
K,M11,13,11,12,10,1
K,M12,13,12,12,11,1
K,M16,13,16,12,15,1
K,M22,13,22,12,21,1
K,M23,13,23,12,22,1
K,M24,13,24,12,23,1
K,N4,14,4,13,3,1
K,N6,14,6,13,5,1
K,N14,14,14,13,13,1
K,N15,14,15,13,14,1
K,N18,14,18,13,17,1
K,N19,14,19,13,18,1
K,N22,14,22,13,21,1
K,O5,15,5,14,4,1
K,O6,15,6,14,5,1
K,O7,15,7,14,6,1
K,O12,15,12,14,11,1
Mg,A1,1,1,0,0,2
Mg,A4,1,4,0,3,2
Mg,A15,1,15,0,14,1
Mg,A16,1,16,0,15,1
Mg,A18,1,18,0,17,2
Mg,A19,1,19,0,18,1
Mg,A23,1,23,0,22,2
Mg,B1,2,1,1,0,2
Mg,B3,2,3,1,2,2
Mg,B4,2,4,1,3,2
Mg,B5,2,5,1,4,2
Mg,B7,2,7,1,6,1
Mg,B8,2,8,1,7,2
Mg,B13,2,13,1,12,2
Mg,B15,2,15,1,14,2
Mg,B18,2,18,1,17,2
Mg,B21,2,21,1,20,1
Mg,C3,3,3,2,2,1
Mg,C6,3,6,2,5,2
Mg,C7,3,7,2,6,1
Mg,C9,3,9,2,8,2
Mg,C10,3,10,2,9,2
Mg,C14,3,14,2,13,1
Mg,C18,3,18,2,17,2
Mg,C23,3,23,2,22,2
Mg,C24,3,24,2,23,2
Mg,D3,4,3,3,2,2
Mg,D4,4,4,3,3,1
Mg,D5,4,5,3,4,2
Mg,D8,4,8,3,7,2
Mg,D9,4,9,3,8,2
Mg,D19,4,19,3,18,2
Mg,D20,4,20,3,19,2
Mg,D22,4,22,3,21,2
Mg,D24,4,24,3,23,2
Mg,E2,5,2,4,1,1
Mg,E6,5,6,4,5,2
Mg,E10,5,10,4,9,2
Mg,E20,5,20,4,19,2
Mg,E24,5,24,4,23,2
Mg,F3,6,3,5,2,2
Mg,F4,6,4,5,3,2
Mg,F5,6,5,5,4,2
Mg,F11,6,11,5,10,2
Mg,F20,6,20,5,19,1
Mg,G1,7,1,6,0,2
Mg,G2,7,2,6,1,2
Mg,G4,7,4,6,3,2
Mg,G7,7,7,6,6,2
Mg,G8,7,8,6,7,1
Mg,G10,7,10,6,9,2
Mg,G11,7,11,6,10,1
Mg,G13,7,13,6,12,2
Mg,G15,7,15,6,14,1
Mg,G17,7,17,6,16,2
Mg,G20,7,20,6,19,2
Mg,G23,7,23,6,22,2
Mg,G24,7,24,6,23,2
Mg,H2,8,2,7,1,1
Mg,H4,8,4,7,3,1
Mg,H5,8,5,7,4,1
Mg,H8,8,8,7,7,2
Mg,H9,8,9,7,8,2
Mg,H16,8,16,7,15,1
Mg,I1,9,1,8,0,1
Mg,I2,9,2,8,1,2
Mg,I3,9,3,8,2,1
Mg,I4,9,4,8,3,2
Mg,I8,9,8,8,7,2
Mg,I12,9,12,8,11,1
Mg,I15,9,15,8,14,1
Mg,I16,9,16,8,15,1
Mg,I22,9,22,8,21,2
Mg,I24,9,24,8,23,2
Mg,J1,10,1,9,0,2
Mg,J2,10,2,9,1,2
Mg,J3,10,3,9,2,1
Mg,J5,10,5,9,4,2
Mg,J10,10,10,9,9,2
Mg,J11,10,11,9,10,2
Mg,J17,10,17,9,16,2
Mg,J20,10,20,9,19,1
Mg,J23,10,23,9,22,2
Mg,K4,11,4,10,3,2
Mg,K5,11,5,10,4,2
Mg,K8,11,8,10,7,2
Mg,K11,11,11,10,10,2
Mg,K12,11,12,10,11,1
Mg,K19,11,19,10,18,1
Mg,K20,11,20,10,19,1
Mg,K22,11,22,10,21,1
Mg,L11,12,11,11,10,2
Mg,L23,12,23,11,22,1
Mg,M3,13,3,12,2,1
Mg,M4,13,4,12,3,2
Mg,M11,13,11,12,10,1
Mg,M12,13,12,12,11,2
Mg,M16,13,16,12,15,1
Mg,M20,13,20,12,19,2
Mg,M22,13,22,12,21,2
Mg,M23,13,23,12,22,2
Mg,M24,13,24,12,23,1
Mg,N2,14,2,13,1,2
Mg,N4,14,4,13,3,2
Mg,N6,14,6,13,5,2
Mg,N13,14,13,13,12,2
Mg,N14,14,14,13,13,1
Mg,N15,14,15,13,14,2
Mg,N18,14,18,13,17,1
Mg,N19,14,19,13,18,1
Mg,N20,14,20,13,19,2
Mg,N21,14,21,13,20,2
Mg,N22,14,22,13,21,1
Mg,O1,15,1,14,0,2
Mg,O5,15,5,14,4,2
Mg,O6,15,6,14,5,1
Mg,O7,15,7,14,6,1
Mg,O12,15,12,14,11,2
Mg,O16,15,16,14,15,2
Mg,O17,15,17,14,16,2
PDGFRB2-TAT,A1,1,1,0,0,2
PDGFRB2-TAT,A18,1,18,0,17,2
PDGFRB2-TAT,A19,1,19,0,18,2
PDGFRB2-TAT,B13,2,13,1,12,2
PDGFRB2-TAT,B18,2,18,1,17,2
PDGFRB2-TAT,C14,3,14,2,13,2
PDGFRB2-TAT,C23,3,23,2,22,2
PDGFRB2-TAT,C24,3,24,2,23,2
PDGFRB2-TAT,D9,4,9,3,8,2
PDGFRB2-TAT,D19,4,19,3,18,2
PDGFRB2-TAT,G1,7,1,6,0,2
PDGFRB2-TAT,G2,7,2,6,1,2
PDGFRB2-TAT,G8,7,8,6,7,2
PDGFRB2-TAT,I3,9,3,8,2,2
PDGFRB2-TAT,I24,9,24,8,23,2
PDGFRB2-TAT,J1,10,1,9,0,2
PDGFRB2-TAT,J17,10,17,9,16,2
PDGFRB2-TAT,K4,11,4,10,3,2
PDGFRB2-TAT,K12,11,12,10,11,2
PDGFRB2-TAT,M12,13,12,12,11,2
PDGFRB2-TAT,N6,14,6,13,5,2
PDGFRB2-TAT,N14,14,14,13,13,2
PDGFRB2-TAT,N22,14,22,13,21,2
PDGFRB2-TAT,O7,15,7,14,6,2
PEG,A1,1,1,0,0,4
PEG,A4,1,4,0,3,4
PEG,A15,1,15,0,14,4
PEG,A16,1,16,0,15,4
PEG,A18,1,18,0,17,4
PEG,A19,1,19,0,18,4
PEG,A23,1,23,0,22,4
PEG,B1,2,1,1,0,4
PEG,B3,2,3,1,2,4
PEG,B4,2,4,1,3,4
PEG,B5,2,5,1,4,4
PEG,B7,2,7,1,6,4
PEG,B8,2,8,1,7,4
PEG,B13,2,13,1,12,4
PEG,B15,2,15,1,14,4
PEG,B18,2,18,1,17,4
PEG,B21,2,21,1,20,4
PEG,C3,3,3,2,2,4
PEG,C6,3,6,2,5,4
PEG,C7,3,7,2,6,4
PEG,C9,3,9,2,8,4
PEG,C10,3,10,2,9,4
PEG,C14,3,14,2,13,4
PEG,C18,3,18,2,17,4
PEG,C23,3,23,2,22,4
PEG,C24,3,24,2,23,4
PEG,D3,4,3,3,2,4
PEG,D4,4,4,3,3,4
PEG,D5,4,5,3,4,4
PEG,D8,4,8,3,7,4
PEG,D9,4,9,3,8,4
PEG,D19,4,19,3,18,4
PEG,D20,4,20,3,19,4
PEG,D22,4,22,3,21,4
PEG,D24,4,24,3,23,4
PEG,E2,5,2,4,1,4
PEG,E6,5,6,4,5,4
PEG,E10,5,10,4,9,4
PEG,E20,5,20,4,19,4
PEG,E24,5,24,4,23,4
PEG,F3,6,3,5,2,4
PEG,F4,6,4,5,3,4
PEG,F5,6,5,5,4,4
PEG,F11,6,11,5,10,4
PEG,F20,6,20,5,19,4
PEG,G1,7,1,6,0,4
PEG,G2,7,2,6,1,4
PEG,G4,7,4,6,3,4
PEG,G7,7,7,6,6,4
PEG,G8,7,8,6,7,4
PEG,G10,7,10,6,9,4
PEG,G11,7,11,6,10,4
PEG,G13,7,13,6,12,4
PEG,G15,7,15,6,14,4
PEG,G17,7,17,6,16,4
PEG,G20,7,20,6,19,4
PEG,G23,7,23,6,22,4
PEG,G24,7,24,6,23,4
