well_name,unique_id,rxn_id,DNA_name,DNA_conc,Liposome_name,Liposome_conc,Mg,SecYE,K,PEG,Chol_conc,Spermidine,PE_conc,plate,col,row,WCE
J7,123,6,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,6,9,BL64
A1,124,7,Dia,5,DOPC,3,14,0.0,185,0,0,4,0,1,0,0,BL64
G10,125,8,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,9,6,BL64
L7,126,9,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,6,11,BL64
L10,127,10,OR1A1,5,DOPC,3,14,0.0,135,0,0,4,0,1,9,11,BL64
M5,128,11,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,4,12,BL64
O8,129,12,CD47,5,DOPC,3,8,0.0,185,0,0,4,0,1,7,14,BL64
D2,130,13,CD47,5,DMPC,3,8,0.0,185,1,0,4,0,1,1,3,BL64
I5,131,14,CD47,5,DOPC,3,20,1.25,85,2,0,4,0,1,4,8,BL64
M3,132,15,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,2,12,BL64
L4,133,16,Blank,0,DMPC,3,8,0.0,85,0,0,4,0,1,3,11,BL64
H9,134,17,Cat,5,DOPC,3,8,0.0,85,0,0,4,0,1,8,7,BL64
D8,135,18,Cat,5,DMPC,3,8,0.0,85,0,0,4,0,1,7,3,BL64
I9,136,19,Cat,5,DOPC,3,20,0.0,185,0,0,4,0,1,8,8,BL64
P7,137,20,Cat,5,DMPC,3,20,0.0,185,0,0,4,0,1,6,15,BL64
D6,138,21,Mito,5,no_lipo,3,14,0.0,185,1,0,4,0,1,5,3,BL64
B4,139,22,Mito,5,no_lipo,3,8,0.0,185,1,0,4,0,1,3,1,BL64
D10,140,23,Mito,5,no_lipo,3,8,1.25,135,2,0,4,0,1,9,3,BL64
M9,141,24,Beta,5,no_lipo,3,20,0.625,185,0,0,4,0,1,8,12,BL64
F1,142,25,Beta,5,no_lipo,3,8,0.0,185,0,0,4,0,1,0,5,BL64
O7,143,26,Beta,5,no_lipo,3,8,1.25,85,1,0,4,0,1,6,14,BL64
M4,144,27,Dia,5,no_lipo,3,8,0.0,185,0,0,4,0,1,3,12,BL64
H10,145,28,Dia,5,no_lipo,3,14,0.0,185,0,0,4,0,1,9,7,BL64
E9,146,29,Dia,5,no_lipo,3,14,0.0,85,2,0,4,0,1,8,4,BL64
I3,147,30,OR1A1,5,no_lipo,3,14,0.0,185,0,0,4,0,1,2,8,BL64
J9,148,31,OR1A1,5,no_lipo,3,14,0.0,135,0,0,4,0,1,8,9,BL64
L5,149,32,OR1A1,5,no_lipo,3,20,1.25,85,2,0,4,0,1,4,11,BL64
H6,150,33,CD47,5,no_lipo,3,8,0.0,185,0,0,4,0,1,5,7,BL64
P4,151,34,CD47,5,no_lipo,3,8,0.0,185,1,0,4,0,1,3,15,BL64
G5,152,35,CD47,5,no_lipo,3,20,1.25,85,2,0,4,0,1,4,6,BL64
B6,153,36,Blank,0,no_lipo,3,8,0.0,85,0,0,4,0,1,5,1,BL64
L1,154,38,Cat,5,no_lipo,3,8,0.0,85,0,0,4,0,1,0,11,BL64
P6,155,40,Cat,5,no_lipo,3,20,0.0,185,0,0,4,0,1,5,15,BL64
A16,156,0,Mito,5,DOPC,3,14,0.0,185,1,0,4,0,1,15,0,BL67
K17,157,1,Mito,5,DOPC,3,8,0.0,185,1,0,4,0,1,16,10,BL67
E18,158,2,Mito,5,DOPC,3,8,1.25,135,2,0,4,0,1,17,4,BL67
B19,159,3,Beta,5,DOPC,3,20,0.625,185,0,0,4,0,1,18,1,BL67
A13,160,4,Beta,5,DOPC,3,8,0.0,185,0,0,4,0,1,12,0,BL67
N15,161,5,Beta,5,DOPC,3,8,1.25,85,1,0,4,0,1,14,13,BL67
H13,162,6,Dia,5,DOPC,3,8,0.0,185,0,0,4,0,1,12,7,BL67
L16,163,7,Dia,5,DOPC,3,14,0.0,185,0,0,4,0,1,15,11,BL67
L19,164,8,Dia,5,DOPC,3,14,0.0,85,2,0,4,0,1,18,11,BL67
G19,165,9,OR1A1,5,DOPC,3,14,0.0,185,0,0,4,0,1,18,6,BL67
J13,166,10,OR1A1,5,DOPC,3,14,0.0,135,0,0,4,0,1,12,9,BL67
N14,167,11,OR1A1,5,DOPC,3,20,1.25,85,2,0,4,0,1,13,13,BL67
A12,168,12,CD47,5,DOPC,3,8,0.0,185,0,0,4,0,1,11,0,BL67
A17,169,13,CD47,5,DMPC,3,8,0.0,185,1,0,4,0,1,16,0,BL67
B15,170,14,CD47,5,DOPC,3,20,1.25,85,2,0,4,0,1,14,1,BL67
B13,171,15,Blank,0,DOPC,3,8,0.0,85,0,0,4,0,1,12,1,BL67
E11,172,16,Blank,0,DMPC,3,8,0.0,85,0,0,4,0,1,10,4,BL67
