well_name,unique_id,rxn_id,K,Liposome_name,Mg,PEG,Liposome_conc,DNA_name,DNA_conc,plate,row,col
B16,122,50,85.0,DOPC,20.0,2.0,3,Blank,5,1,1,15
L2,123,51,85.0,DMPC,8.0,1.0,3,Blank,5,1,11,1
E15,124,52,85.0,DMPC,14.0,2.0,3,Blank,5,1,4,14
M6,125,53,85.0,DMPC,20.0,0.0,3,Blank,5,1,12,5
I1,126,54,185.0,DOPC,8.0,1.0,3,Blank,5,1,8,0
I7,127,55,185.0,DOPC,14.0,2.0,3,Blank,5,1,8,6
M11,128,56,185.0,DOPC,20.0,0.0,3,Blank,5,1,12,10
P15,129,57,185.0,DMPC,8.0,2.0,3,Blank,5,1,15,14
O1,130,58,185.0,DMPC,14.0,0.0,3,Blank,5,1,14,0
L17,131,59,185.0,DMPC,20.0,1.0,3,Blank,5,1,11,16
D14,132,60,85.0,no_lipo,8.0,0.0,3,Blank,5,1,3,13
A17,133,61,85.0,no_lipo,14.0,1.0,3,Blank,5,1,0,16
B5,134,62,85.0,no_lipo,20.0,2.0,3,Blank,5,1,1,4
A15,135,63,85.0,no_lipo,8.0,1.0,3,Blank,5,1,0,14
M10,136,64,85.0,no_lipo,14.0,2.0,3,Blank,5,1,12,9
O2,137,65,85.0,no_lipo,20.0,0.0,3,Blank,5,1,14,1
O6,138,66,185.0,no_lipo,8.0,1.0,3,Blank,5,1,14,5
C10,139,67,185.0,no_lipo,14.0,2.0,3,Blank,5,1,2,9
G2,140,68,185.0,no_lipo,20.0,0.0,3,Blank,5,1,6,1
J8,141,69,185.0,no_lipo,8.0,2.0,3,Blank,5,1,9,7
K16,142,70,185.0,no_lipo,14.0,0.0,3,Blank,5,1,10,15
G7,143,71,185.0,no_lipo,20.0,1.0,3,Blank,5,1,6,6
B11,144,0,85.0,DOPC,8.0,0.0,3,TFR1,5,1,1,10
F10,145,1,85.0,DOPC,14.0,1.0,3,TFR1,5,1,5,9
A4,146,2,85.0,DOPC,20.0,2.0,3,TFR1,5,1,0,3
H2,147,3,85.0,DMPC,8.0,1.0,3,TFR1,5,1,7,1
F8,148,4,85.0,DMPC,14.0,2.0,3,TFR1,5,1,5,7
N5,149,5,85.0,DMPC,20.0,0.0,3,TFR1,5,1,13,4
L9,150,6,185.0,DOPC,8.0,1.0,3,TFR1,5,1,11,8
C18,151,7,185.0,DOPC,14.0,2.0,3,TFR1,5,1,2,17
B6,152,8,185.0,DOPC,20.0,0.0,3,TFR1,5,1,1,5
N15,153,9,185.0,DMPC,8.0,2.0,3,TFR1,5,1,13,14
K2,154,10,185.0,DMPC,14.0,0.0,3,TFR1,5,1,10,1
F11,155,11,185.0,DMPC,20.0,1.0,3,TFR1,5,1,5,10
O4,156,12,85.0,no_lipo,8.0,0.0,3,TFR1,5,1,14,3
A7,157,13,85.0,no_lipo,14.0,1.0,3,TFR1,5,1,0,6
O13,158,14,85.0,no_lipo,20.0,2.0,3,TFR1,5,1,14,12
L10,159,15,85.0,no_lipo,8.0,1.0,3,TFR1,5,1,11,9
A16,160,16,85.0,no_lipo,14.0,2.0,3,TFR1,5,1,0,15
N12,161,17,85.0,no_lipo,20.0,0.0,3,TFR1,5,1,13,11
C7,162,18,185.0,no_lipo,8.0,1.0,3,TFR1,5,1,2,6
K4,163,19,185.0,no_lipo,14.0,2.0,3,TFR1,5,1,10,3
I12,164,20,185.0,no_lipo,20.0,0.0,3,TFR1,5,1,8,11
I6,165,21,185.0,no_lipo,8.0,2.0,3,TFR1,5,1,8,5
F15,166,22,185.0,no_lipo,14.0,0.0,3,TFR1,5,1,5,14
J10,167,23,185.0,no_lipo,20.0,1.0,3,TFR1,5,1,9,9
P16,168,24,85.0,DOPC,8.0,0.0,3,CD151,5,1,15,15
K7,169,25,85.0,DOPC,14.0,1.0,3,CD151,5,1,10,6
D6,170,26,85.0,DOPC,20.0,2.0,3,CD151,5,1,3,5
P10,171,27,85.0,DMPC,8.0,1.0,3,CD151,5,1,15,9
B13,172,28,85.0,DMPC,14.0,2.0,3,CD151,5,1,1,12
N2,173,29,85.0,DMPC,20.0,0.0,3,CD151,5,1,13,1
O11,174,30,185.0,DOPC,8.0,1.0,3,CD151,5,1,14,10
D1,175,31,185.0,DOPC,14.0,2.0,3,CD151,5,1,3,0
P9,176,32,185.0,DOPC,20.0,0.0,3,CD151,5,1,15,8
K8,177,33,185.0,DMPC,8.0,2.0,3,CD151,5,1,10,7
B7,178,34,185.0,DMPC,14.0,0.0,3,CD151,5,1,1,6
J17,179,35,185.0,DMPC,20.0,1.0,3,CD151,5,1,9,16
G14,180,36,85.0,no_lipo,8.0,0.0,3,CD151,5,1,6,13
O16,181,37,85.0,no_lipo,14.0,1.0,3,CD151,5,1,14,15
N11,182,38,85.0,no_lipo,20.0,2.0,3,CD151,5,1,13,10
N17,183,39,85.0,no_lipo,8.0,1.0,3,CD151,5,1,13,16
L5,184,40,85.0,no_lipo,14.0,2.0,3,CD151,5,1,11,4
G18,185,41,85.0,no_lipo,20.0,0.0,3,CD151,5,1,6,17
N16,186,42,185.0,no_lipo,8.0,1.0,3,CD151,5,1,13,15
A9,187,43,185.0,no_lipo,14.0,2.0,3,CD151,5,1,0,8
M8,188,44,185.0,no_lipo,20.0,0.0,3,CD151,5,1,12,7
H18,189,45,185.0,no_lipo,8.0,2.0,3,CD151,5,1,7,17
N7,190,46,185.0,no_lipo,14.0,0.0,3,CD151,5,1,13,6
N10,191,47,185.0,no_lipo,20.0,1.0,3,CD151,5,1,13,9
H5,192,48,85.0,DOPC,8.0,0.0,3,Blank,5,1,7,4
L15,193,49,85.0,DOPC,14.0,1.0,3,Blank,5,1,11,14
B4,194,50,85.0,DOPC,20.0,2.0,3,Blank,5,1,1,3
P5,195,51,85.0,DMPC,8.0,1.0,3,Blank,5,1,15,4
B15,196,52,85.0,DMPC,14.0,2.0,3,Blank,5,1,1,14
M12,197,53,85.0,DMPC,20.0,0.0,3,Blank,5,1,12,11
H6,198,54,185.0,DOPC,8.0,1.0,3,Blank,5,1,7,5
D13,199,55,185.0,DOPC,14.0,2.0,3,Blank,5,1,3,12
