well_name,Mg,combo,K
D11,8,WT60-5-625J,85
D12,14,WT60-5-625J,85
D13,8,WT60-6-750J,85
D14,14,WT60-6-750J,85
D15,8,WT60-7-875J,85
D16,14,WT60-7-875J,85
D17,8,WT60-8-1000J,85
D18,14,WT60-8-1000J,85
D19,8,WT60-9-1250J,85
D2,14,BL59-2,85
D20,14,WT60-9-1250J,85
D3,8,WT60-1-125J,85
D4,14,WT60-1-125J,85
D5,8,WT60-2-250J,85
D6,14,WT60-2-250J,85
D7,8,WT60-3-375J,85
D8,14,WT60-3-375J,85
D9,8,WT60-4-500J,85
E1,10,BL59-2,85
E10,24,WT60-4-500J,85
E11,10,WT60-5-625J,85
E12,24,WT60-5-625J,85
E13,10,WT60-6-750J,85
E14,24,WT60-6-750J,85
E15,10,WT60-7-875J,85
E16,24,WT60-7-875J,85
E17,10,WT60-8-1000J,85
E18,24,WT60-8-1000J,85
E19,10,WT60-9-1250J,85
E2,24,BL59-2,85
E20,24,WT60-9-1250J,85
E3,10,WT60-1-125J,85
E4,24,WT60-1-125J,85
E5,10,WT60-2-250J,85
E6,24,WT60-2-250J,85
E7,10,WT60-3-375J,85
E8,24,WT60-3-375J,85
E9,10,WT60-4-500J,85
F1,22,BL59-2,85
F10,26,WT60-4-500J,85
F11,22,WT60-5-625J,85
F12,26,WT60-5-625J,85
F13,22,WT60-6-750J,85
F14,26,WT60-6-750J,85
F15,22,WT60-7-875J,85
F16,26,WT60-7-875J,85
F17,22,WT60-8-1000J,85
F18,26,WT60-8-1000J,85
F19,22,WT60-9-1250J,85
F2,26,BL59-2,85
F20,26,WT60-9-1250J,85
F3,22,WT60-1-125J,85
F4,26,WT60-1-125J,85
F5,22,WT60-2-250J,85
F6,26,WT60-2-250J,85
F7,22,WT60-3-375J,85
F8,26,WT60-3-375J,85
F9,22,WT60-4-500J,85
G1,16,BL59-2,85
G10,12,WT60-4-500J,85
G11,16,WT60-5-625J,85
G12,12,WT60-5-625J,85
G13,16,WT60-6-750J,85
G14,12,WT60-6-750J,85
G15,16,WT60-7-875J,85
G16,12,WT60-7-875J,85
G17,16,WT60-8-1000J,85
G18,12,WT60-8-1000J,85
G19,16,WT60-9-1250J,85
G2,12,BL59-2,85
G20,12,WT60-9-1250J,85
G3,16,WT60-1-125J,85
G4,12,WT60-1-125J,85
G5,16,WT60-2-250J,85
G6,12,WT60-2-250J,85
G7,16,WT60-3-375J,85
G8,12,WT60-3-375J,85
G9,16,WT60-4-500J,85
H1,26,BL59-2,85
H10,24,WT60-4-500J,85
H11,26,WT60-5-625J,85
H12,24,WT60-5-625J,85
H13,26,WT60-6-750J,85
H14,24,WT60-6-750J,85
H15,26,WT60-7-875J,85
H16,24,WT60-7-875J,85
H17,26,WT60-8-1000J,85
H18,24,WT60-8-1000J,85
H19,26,WT60-9-1250J,85
H2,24,BL59-2,85
H20,24,WT60-9-1250J,85
H3,26,WT60-1-125J,85
H4,24,WT60-1-125J,85
H5,26,WT60-2-250J,85
H6,24,WT60-2-250J,85
H7,26,WT60-3-375J,85
H8,24,WT60-3-375J,85
H9,26,WT60-4-500J,85
I1,16,BL59-2,85
I10,18,WT60-4-500J,85
I11,16,WT60-5-625J,85
I12,18,WT60-5-625J,85
I13,16,WT60-6-750J,85
I14,18,WT60-6-750J,85
I15,16,WT60-7-875J,85
I16,18,WT60-7-875J,85
I17,16,WT60-8-1000J,85
I18,18,WT60-8-1000J,85
I19,16,WT60-9-1250J,85
I2,18,BL59-2,85
I20,18,WT60-9-1250J,85
I3,16,WT60-1-125J,85
I4,18,WT60-1-125J,85
I5,16,WT60-2-250J,85
I6,18,WT60-2-250J,85
I7,16,WT60-3-375J,85
I8,18,WT60-3-375J,85
I9,16,WT60-4-500J,85
J1,8,BL59-2,85
J10,18,WT60-4-500J,85
J11,8,WT60-5-625J,85
J12,18,WT60-5-625J,85
J13,8,WT60-6-750J,85
J14,18,WT60-6-750J,85
J15,8,WT60-7-875J,85
J16,18,WT60-7-875J,85
J17,8,WT60-8-1000J,85
J18,18,WT60-8-1000J,85
J19,8,WT60-9-1250J,85
J2,18,BL59-2,85
J20,18,WT60-9-1250J,85
J3,8,WT60-1-125J,85
J4,18,WT60-1-125J,85
J5,8,WT60-2-250J,85
J6,18,WT60-2-250J,85
J7,8,WT60-3-375J,85
J8,18,WT60-3-375J,85
J9,8,WT60-4-500J,85
K1,20,BL59-2,85
K10,8,WT60-4-500J,85
K11,20,WT60-5-625J,85
K12,8,WT60-5-625J,85
K13,20,WT60-6-750J,85
K14,8,WT60-6-750J,85
K15,20,WT60-7-875J,85
K16,8,WT60-7-875J,85
K17,20,WT60-8-1000J,85
K18,8,WT60-8-1000J,85
K19,20,WT60-9-1250J,85
K2,8,BL59-2,85
K20,8,WT60-9-1250J,85
K3,20,WT60-1-125J,85
K4,8,WT60-1-125J,85
K5,20,WT60-2-250J,85
K6,8,WT60-2-250J,85
K7,20,WT60-3-375J,85
K8,8,WT60-3-375J,85
K9,20,WT60-4-500J,85
L1,16,BL59-2,85
L10,18,WT60-4-500J,85
L11,16,WT60-5-625J,85
L12,18,WT60-5-625J,85
L13,16,WT60-6-750J,85
L14,18,WT60-6-750J,85
L15,16,WT60-7-875J,85
L16,18,WT60-7-875J,85
L17,16,WT60-8-1000J,85
L18,18,WT60-8-1000J,85
L19,16,WT60-9-1250J,85
L2,18,BL59-2,85
L20,18,WT60-9-1250J,85
L3,16,WT60-1-125J,85
L4,18,WT60-1-125J,85
L5,16,WT60-2-250J,85
L6,18,WT60-2-250J,85
L7,16,WT60-3-375J,85
L8,18,WT60-3-375J,85
L9,16,WT60-4-500J,85
M1,20,BL59-2,85
M10,10,WT60-4-500J,85
M11,20,WT60-5-625J,85
M12,10,WT60-5-625J,85
M13,20,WT60-6-750J,85
M14,10,WT60-6-750J,85
M15,20,WT60-7-875J,85
M16,10,WT60-7-875J,85
M17,20,WT60-8-1000J,85
M18,10,WT60-8-1000J,85
M19,20,WT60-9-1250J,85
M2,10,BL59-2,85
M20,10,WT60-9-1250J,85
M3,20,WT60-1-125J,85
M4,10,WT60-1-125J,85
M5,20,WT60-2-250J,85
M6,10,WT60-2-250J,85
M7,20,WT60-3-375J,85
M8,10,WT60-3-375J,85
M9,20,WT60-4-500J,85
N1,12,BL59-2,85
N10,14,WT60-4-500J,85
N11,12,WT60-5-625J,85
N12,14,WT60-5-625J,85
N13,12,WT60-6-750J,85
N14,14,WT60-6-750J,85
N15,12,WT60-7-875J,85
N16,14,WT60-7-875J,85
N17,12,WT60-8-1000J,85
N18,14,WT60-8-1000J,85
N19,12,WT60-9-1250J,85
N2,14,BL59-2,85
N20,14,WT60-9-1250J,85
N3,12,WT60-1-125J,85
N4,14,WT60-1-125J,85
N5,12,WT60-2-250J,85
N6,14,WT60-2-250J,85
N7,12,WT60-3-375J,85
N8,14,WT60-3-375J,85
N9,12,WT60-4-500J,85
O1,14,BL59-2,85
O11,14,WT60-5-625J,85
O13,14,WT60-6-750J,85
O15,14,WT60-7-875J,85
O17,14,WT60-8-1000J,85
O19,14,WT60-9-1250J,85
O3,14,WT60-1-125J,85
O5,14,WT60-2-250J,85
O7,14,WT60-3-375J,85
O9,14,WT60-4-500J,85
P1,22,BL59-2,85
P11,22,WT60-5-625J,85
P13,22,WT60-6-750J,85
P15,22,WT60-7-875J,85
P17,22,WT60-8-1000J,85
P19,22,WT60-9-1250J,85
P3,22,WT60-1-125J,85
P5,22,WT60-2-250J,85
P7,22,WT60-3-375J,85
P9,22,WT60-4-500J,85
